类别,precision,recall,f1-score,support,accuracy,AUC,AP
negative,0.96875,0.9954128440366972,0.9819004524886876,218.0,0.9954128440366972,0.991822895891504,0.9981871018374162
positive,0.9090909090909092,0.9375,0.9230769230769232,32.0,0.9375,0.9938038793103448,0.9593781196943247
unconfirmed,0.8571428571428571,0.4285714285714285,0.5714285714285714,14.0,0.4285714285714285,0.9502857142857144,0.5561614986029247
macro avg,0.9116612554112554,0.7871614242027086,0.8254686489980608,264.0,0.7871614242027086,0.9786374964958544,0.8379089067115553
weighted avg,0.9556000344352618,0.9583333333333334,0.9530028794734676,264.0,0.9583333333333334,0.989860285766208,0.9700422311030912
