epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,3.609816551208496,0.03842459173871278,0.016017912354915887,0.03895792566356149,0.015309934728749974
1.0,1.122321367263794,0.7512007684918348,0.7837672625192614,0.7488807875019416,0.749724736564116
2.0,0.7377322912216187,0.8097982708933718,0.8284583014787221,0.8079127634921126,0.8107295020365144
3.0,0.6079543232917786,0.8290105667627281,0.8492936672225615,0.8281305927483169,0.8269718801397287
4.0,0.527237594127655,0.8549471661863592,0.8613572613613065,0.8534534250654854,0.8535155575904704
5.0,0.492070734500885,0.8597502401536984,0.8702059999514751,0.8586354436542135,0.8587024022506753
6.0,0.4593416154384613,0.866474543707973,0.8705039994606378,0.8659255636684556,0.8648877061468322
7.0,0.4531066119670868,0.8731988472622478,0.8806388742482144,0.872575347421731,0.8729532036910873
8.0,0.44655561447143555,0.8731988472622478,0.878332418999594,0.8733385148974587,0.8718159506001818
9.0,0.4178434908390045,0.8808837656099904,0.8848366548999396,0.8799451832539238,0.8796422998913347
10.0,0.42428967356681824,0.8789625360230547,0.8863721730889261,0.8782319491763364,0.8785929697222178
11.0,0.40107059478759766,0.8847262247838616,0.8880707185475017,0.8843298866873787,0.8838487011985534
12.0,0.4009280502796173,0.8837656099903939,0.8881230464897025,0.8835187035712954,0.8829692871051807
13.0,0.40437906980514526,0.8866474543707973,0.8923227323317967,0.8860326259738216,0.885818537353309
14.0,0.4033837616443634,0.8818443804034583,0.8875231037752418,0.8818038768110965,0.8810433444854474
15.0,0.3828304409980774,0.8837656099903939,0.8864963102362868,0.8834999785979425,0.8821922689558266
16.0,0.3877350986003876,0.8856868395773295,0.8888037923681551,0.8855208353374924,0.8843106191725665
17.0,0.37953981757164,0.8856868395773295,0.8882023775586935,0.8854063903954612,0.8845619254250876
18.0,0.38081932067871094,0.8847262247838616,0.8884152360806291,0.8840344011675361,0.8835922185616224
19.0,0.3751928508281708,0.8895292987512008,0.8919367677442916,0.8890673828041851,0.8885510402262529
20.0,0.3777112662792206,0.8924111431316042,0.8950921862723864,0.8921264687126359,0.8909050329921052
